type,size,cpu_time_ms,gpu_time_ms,speedup
int,100,6.48947,0.058592,110.757
int,500,828.152,0.789045,1049.56
int,1000,7516,7.10598,1057.7
int,1500,32759.5,27.4593,1193.02
int,2000,89084.2,58.7985,1515.07
float,100,9.36322,0.065216,143.572
float,500,936.132,0.891253,1050.35
float,1000,8394.75,7.10821,1180.99
float,1500,37876.7,27.4575,1379.46
float,2000,102785,58.7973,1748.12
double,100,7.3777,0.0878293,84.0004
double,500,1020.13,2.88825,353.199
double,1000,10361,22.4025,462.491
double,1500,44606.2,75.0043,594.715
double,2000,128695,171.193,751.752
