type,size,cpu_time_ms,gpu_total_ms,kernel_ms,h2d_ms,d2h_ms,speedup
int,1000,0.0046058,0.0562624,0.02928,0.0128064,0.014176,0.0818628
int,10000,0.052085,0.0506624,0.012128,0.026688,0.0118464,1.02808
int,100000,0.48219,0.170054,0.0339776,0.12217,0.0139072,2.8355
int,500000,2.36651,0.620448,0.114368,0.488038,0.0180416,3.81419
int,1000000,5.04773,1.09022,0.207744,0.859712,0.0227648,4.63001
float,1000,0.0048898,0.0726656,0.02992,0.012608,0.0301376,0.0672918
float,10000,0.0450568,0.0587264,0.0128192,0.0330048,0.0129024,0.767232
float,100000,0.466999,0.166445,0.034624,0.118048,0.0137728,2.80573
float,500000,2.40614,0.626848,0.119072,0.490227,0.0175488,3.83847
float,1000000,4.79434,1.08264,0.22441,0.834611,0.0236224,4.42837
double,1000,0.0050636,0.0643712,0.0326592,0.016096,0.015616,0.0786625
double,10000,0.079861,0.0704768,0.0157056,0.0363072,0.018464,1.13315
double,100000,0.449628,0.300109,0.0382016,0.243245,0.0186624,1.49822
double,500000,2.25613,0.994739,0.115674,0.86087,0.0181952,2.26806
double,1000000,4.57016,1.93098,0.219526,1.68337,0.0280768,2.36676
